0.0001,3.3495,5
0.0002,3.7232,5
0.0003,3.1605,5
0.0004,3.393,5
0.0005,3.5155,5
0.0006,3.5687,5
0.0007,3.4163,5
0.0008,3.0373,5
0.0009,3.5435,5
0.001,3.3391,5
0.0011,3.4246,5
0.0012,3.5954,5
0.0013,2.9975,5
0.0014,3.3077,5
0.0015,3.9837,5
0.0016,3.6582,5
0.0017,3.6723,5
0.0018,3.8219,5
0.0019,3.1881,5
0.002,3.5513,5
0.0021,3.8899,5
0.0022,3.5579,5
0.0023,3.431,5
0.0024,3.4862,5
0.0025,3.3121,5
0.0026,3.7086,5
0.0027,3.6383,5
0.0028,3.176,5
0.0029,3.1189,5
0.003,3.4841,5
0.0031,3.7789,5
0.0032,3.3717,5
0.0033,3.259,5
0.0034,3.225,5
0.0035,3.6651,5
0.0036,2.8003,5
0.0037,3.4225,5
0.0038,3.6336,5
0.0039,3.8338,5
0.004,2.1656,4
0.0041,1.8375,4
0.0042,2.1503,4
0.0043,3.56,5
0.0044,3.6466,5
0.0045,3.649,5
0.0046,3.7423,5
0.0047,1.9653,4
0.0048,2.011,4
0.0049,2.7072,4
0.005,2.7538,4
0.0051,3.4463,5
0.0052,3.5331,5
0.0053,3.3156,5
0.0054,3.9672,5
0.0055,2.4994,4
0.0056,1.9036,4
0.0057,2.3351,4
0.0058,2.2684,4
0.0059,3.5271,5
0.006,3.1857,5
0.0061,3.4396,5
0.0062,3.4612,5
0.0063,3.4703,5
0.0064,3.9038,5
0.0065,3.4862,5
0.0066,3.4953,5
0.0067,3.3763,5
0.0068,3.2648,5
0.0069,1.7819,4
0.007,1.8846,4
0.0071,1.9503,4
0.0072,2.0952,4
0.0073,2.2255,4
0.0074,3.9977,5
0.0075,3.164,5
0.0076,3.3544,5
0.0077,3.3659,5
0.0078,3.464,5
0.0079,3.133,5
0.008,3.2722,5
0.0081,2.334,4
0.0082,2.3415,4
0.0083,2.5521,4
0.0084,2.6207,4
0.0085,1.9321,4
0.0086,2.2561,4
0.0087,3.8947,5
0.0088,2.9226,5
0.0089,3.2992,5
0.009,2.0221,4
0.0091,1.7277,4
0.0092,2.512,4
0.0093,3.3158,5
0.0094,3.7092,5
0.0095,3.392,5
0.0096,3.4977,5
0.0097,3.3926,5
0.0098,2.8306,5
0.0099,2.1979,4
0.01,2.0663,4
0.0101,2.1399,4
0.0102,2.2306,4
0.0103,1.8766,4
0.0104,2.3039,4
0.0105,2.3328,4
0.0106,2.2569,4
0.0107,1.9359,4
0.0108,2.8068,4
0.0109,3.107,5
0.011,3.9438,5
0.0111,2.2308,4
0.0112,3.6018,5
0.0113,2.0719,4
0.0114,2.8808,5
0.0115,3.1267,5
0.0116,2.1805,4
0.0117,1.9573,4
0.0118,3.0876,5
0.0119,2.4544,4
0.012,2.8021,5
0.0121,3.1886,5
0.0122,3.6927,5
0.0123,3.8061,5
